Title,Entity,Nationality,Country,From,To,Prohibited Practice,Source,Tipo de sancion del BID,IDB Sanction Source,Other Name
Juan Domingo Tablares Aliaga,Individual,Bolivia," Bolivia",2009-07-10T00:00,Ongoing," Fraud, Extortion",IDB,Debarment,SCOM,Sanctions Committee
Ricardo Augusto Reynoso González,Individual,Guatemala," Guatemala",2009-06-15T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Hans Estuardo Caderón Palacios,Individual,Guatemala," Guatemala",2009-06-15T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Consultora Tecnodinámica S.R.L.,Firm,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Consultora Guaraní S.A. Ingenieros Civiles,Firm,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Consorcio Tecnodinámica y Asociados,Firm,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Graciela Beatriz Modesto Merlo,Individual,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Julio Vicente Ullón Espinola,Individual,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Pericles Modesto Schussmuller,Individual,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
José Gustavo Modesto Merlo,Individual,Paraguay," Paraguay",2009-02-09T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Gabriel Mejía Valdivieso ,Individual,Bolivia," Bolivia",2007-03-23T00:00,Ongoing," Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Dolores Conde Villegas ,Individual,Bolivia," Bolivia",2007-03-23T00:00,Ongoing," Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Desarrollo en Sistemas y Computación DELCOM ,Firm,Bolivia," Bolivia",2007-03-23T00:00,Ongoing," Fraud, Collusion",IDB,Debarment,SCOM,Sanctions Committee
Juan Batista ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Mirna Murillo de Vergara ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Adán Acosta Sánchez ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Geneva Alonso ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Siria Rodríguez de Batista ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
José González ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Benigno Tomás Rodríguez ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Reynaldo Anel Córdoba ,Individual,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Educación Técnica Especializada S.A. EDUTEC ,Firm,Panama," Panama",2007-03-23T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Compañia de la Construccion Sociedad Anonima de Capital Variable – CODECON S.A. de C.V.,Firm,Honduras," Honduras",2010-03-19T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Vladimir Su Yañez,Individual,Honduras," Honduras",2010-03-19T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Ramon de Jesus Flores Castro,Individual,Honduras," Honduras",2010-05-03T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Proveedora Ferretera,Firm,Honduras," Honduras",2010-05-03T00:00,Ongoing," Fraud",IDB,Debarment,SCOM,Sanctions Committee
Gustavo Cimar Unzueta Sossa,Individual,Bolivia," Bolivia",2011-02-07T00:00,Ongoing," Corruption",IDB,Debarment,SCOM,Sanctions Committee
Syani Phirom,Individual,Cambodia,NULL,2011-07-12T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Ly Moni Roth,Individual,Cambodia,NULL,2011-07-12T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Sustainable Development Consultants Cambodia Limited,Firm,Cambodia,NULL,2011-07-12T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Akhtar M. Babul M,Individual,Bangladesh," Bangladesh",2011-05-17T00:00,Ongoing," Nonspecified",ADB cross debarment,NULL,NULL,NULL
Development Action Centre (DAC),Firm,Bangladesh," Bangladesh",2011-08-22T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mrs. Shamsunnahar,Individual,Bangladesh," Bangladesh",2011-08-22T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
LLC UN&CO,Firm,Tajikistan," Tajikistan",2011-06-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Association Muhandison,Firm,Tajikistan," Tajikistan",2011-06-01T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Proveeduría Médica,Firm,Argentina," Argentina",2011-06-16T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Dr. Hans Peter Schone,Individual,Germany," Russian Federation",2011-08-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Joseph Nuijten,Individual,Belgium," Gambia",2011-06-10T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Human Resources Development Organization (HURDO),Firm,Bangladesh," Bangladesh",2011-07-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
